WORD;DEFINITION;Type;;GROUPING
372;appropriate;a;suitable or fitting for a particular purpose
373;appurtenance;n;an appendage added to something else
374;apropos;a;of an appropriate or pertinent nature
375;aptitude;n;natural ability to acquire knowledge or skill
376;aquatic;a;relating to water
377;aqueduct;n;a small canal containing fluid
378;aqueous;a;consisting mostly of water
379;arable;a;suitable for cultivation, such as by ploughing
380;arbiter;n;a person empowered to make decisions
381;arbitrary;a;random, not based on reason or system
382;arbitrate;v;to judge, to umpire
383;arbitrator;n;a person delegated the authority to settle a dispute
384;arbor;n;a shady sitting place, usually in a park or garden
385;arboreal;a;of or relating to trees
386;arboriculture;n;the cultivation of trees and shrubs
387;arcade;n;a row of arches
388;arcane;a;known or understood by very few
389;archaeology;n;the scientific study of historic or prehistoric peoples
390;archaic;a;of or characterized by antiquity
391;archangel;n;a powerful angel that leads many other angels
392;archbishop;n;a senior bishop who is in charge of an archdiocese
393;archdeacon;n;(anglican,eastern orthodox) a senior administrative official
394;archetype;n;the original model from which all similar things are copied
395;archipelago;n;a cluster of island
396;archive;n;any extensive record or collection of data
397;ardent;a;intensely devoted, fervent, passionate
398;ardor;n;passion
399;arduous;a;difficult and tiring
400;aria;n;a musical piece written for a solo voice with accompaniment
401;arid;a;extremely dry
402;aristocrat;n;one of a ruling class, a noble
403;armada;n;a fleet of warships
404;armful;n;the amount an arm or arms can hold
405;armistice;n;a formal agreement to end fighting
406;armory;n;a place where arms (weapons) are kept
407;aroma;n;smell (usually in relation to food)
408;arouse;v;to evoke or awaken a feeling, emotion or response
409;arraign;v;to officially charge someone in a court of law
410;arrange;v;to set up, to organize, especially in a positive manner
411;arrangement;n;the act of arranging
412;arrant;a;complete, total
413;arrear;n;work to be done, obligation
414;arrogant;a;haughty, conceited
415;arrogate;v;assume, take or claim (something) without justification
416;arroyo;n;a small watercourse, usually dry except for heavy rains
417;arsenal;n;a collection or supply of weapons or munitions
418;artesian;a;pertaining to a well in which water rises from pressure
419;artful;a;performed with, or characterized by, art or skill
420;arthurian;a;of or relating to the legend of king arthur
421;articulate;v;express (an idea of feeling) fluently and coherently
422;artifact;n;an object made or shaped by humans
423;artifice;n;a crafty but underhanded deception
424;artisan;n;a worker in a skilled trade
425;artless;a;having or displaying no guile, cunning, or deceit
426;ascendant;a;rising, moving upward
427;ascent;n;the act of ascending a motion upwards
428;ascertain;v;to find out definitely, to discover or establish
429;ascetic;n;a person who practices severe self-discipline
430;ascribe;v;to attribute a cause or characteristic to something
431;aseptic;a;free of disease-causing microbes
432;asexual;a;having no distinct sex, having no interest in sex
433;ashen;a;of the pale gray color of ash
434;asinine;a;foolish, unintelligent or silly
435;askance;a;turned to the side, especially of the eyes
436;askew;a;turned or twisted to one side
437;asperity;n;harshness of tone or manner
438;aspersion;n;an attack on somebody's reputation or good name
439;aspiration;n;ambition, goal
440;aspire;v;to hope or dream, especially towards a profession
441;assail;v;to make a concerted of violent attach on
442;assailant;n;someone who attacks or assails another violently
443;assassin;v;to assassinate
444;assay;v;to examine or analyze
445;assent;v;to agree to, give approval to
446;assert;v;to state a fact or belief confidently and forcefully
447;assess;v;to determine, estimate or judge the value of, to evaluate
448;assessor;n;one who assesses a property for tax evaluation
449;asset;n;something or someone of any value
450;asseverate;v;to declare earnestly, seriously, or positively, to affirm
451;assiduous;a;diligent, industrious
452;assignee;n;one to whom a thing is assigned
453;assimilate;v;to take in and incorporate as one's own
454;assonance;n;the repetition of similar or identical vowel sounds
455;assonant;a;having successive similar vowel sounds
456;assonate;v;to correspond in (particularly vowel) sounds
457;assuage;v;make an unpleasant feeling less intense
458;assurance;n;a declaration tending to inspire full confidence
459;astound;v;to overwhelm with amazement
460;astral;a;relating to or resembling the stars, starry
461;astringent;a;sharp, caustic, severe
462;astute;a;shrewd, sharp
463;asunder;a;apart, divided
464;asylum;n;a place of safety
465;atheist;a;of or relating to atheists or atheism, atheistic
466;athirst;a;thirsty
467;athwart;adverb;av;across, crosswise
468;atomizer;n;an instrument for reducing a liquid to spray or vapor
469;atone;v;to make reparation, compensation, or amends, for an offence
470;atrocious;a;frightful, evil, cruel or monstrous
471;atrocity;n;an extremely wicked or cruel act
472;atrophy;v;to wither or waste away
473;attache;n;an official associated with an embassy
474;attain;v;to accomplish, to achieve
475;attainment;n;the act of arriving at or reaching
476;attenuate;v;to reduce in size, force, value, amount, or degree
477;attest;v;to affirm to be correct, true, or genuine
478;attribute;v;to ascribe (something) to a given cause, reason etc
479;attrition;n;wearing or grinding down by friction
480;atypical;a;not conforming to the normal type
481;auburn;a;of a reddish-brown colour
482;audacious;a;showing willingness to take bold risks, recklessly daring
483;audible;a;capable of being heard
484;audit;n;an official verification of records, especially financial
485;audition;n;a trial to test a performer's suitability for something
486;auditor;n;a person appointed to examine accounting records
487;auditory;a;of, or relating to hearing
488;augment;v;to make bigger
489;augur;v;to foretell events, to exhibit signs of future events
490;augury;n;a divination based on the behaviour of animals
491;august;a;inspiring reverence or admiration, majestic
492;augustinian;n;pertaining to st. augustine of hippo
493;aura;n;distinctive atmosphere or quality associated with something
494;aural;a;of or pertaining to the ear
495;aureole;n;any encircling ring of light, halo
496;auricle;n;the outer ear or pinna
497;auriferous;a;containing or producing gold, gold-bearing
498;aurora;n;an atmospheric phenomenon creating bands of light in the sky
499;auroral;a;pertaining to the dawn
500;auspice;n;patronage or protection
501;austere;a;severe or strict in manner, attitude, or appearance
502;autarchy;n;a condition of absolute power
503;authentic;a;of the same origin as claimed, genuine
504;authoritarian;a;of, or relating to, absolute obedience to an authority
505;autobiography;n;a self-written biography, the story of one's own life
506;autocracy;n;a form of government in which one individual holds all power
507;autocrat;n;an absolute ruler with infinite power
508;automaton;n;a robot designed to follow a sequence of instructions
509;autopsy;n;a post-mortem examination to discover the cause of death
510;autumnal;a;of or relating to autumn
511;auxiliary;a;helping, giving assistance or support
512;avalanche;n;a large mass of snow sliding suddenly downward
513;avant-garde;a;innovative, pioneering, especially when obviously so
514;avarice;n;greediness over wealth, covetousness
515;avatar;n;an incarnation or manifestation of a person or idea
516;avenge;v;to vindicate by inflicting pain or evil on a wrongdoer
517;aver;v;to state or assert to be the case
518;averse;v;to turn away
519;avert;v;to turn aside or away
520;aviary;n;an enclosure for keeping birds confined
521;avid;a;having or showing keen interest
522;avidity;n;greediness, strong appetite
523;avocation;n;a calling away, a diversion
524;avow;v;assert or confess openly
525;avuncular;a;in the manner of an uncle, pertaining to an uncle
526;awaken;v;to cause to become awake
527;awe;v;to inspire fear and reverence
528;awry;a;crooked, distorted, out of place
529;axiom;n;a self-evident truth requiring no proof
530;aye;n;an affirmative vote, one who votes in the affirmative
531;azan;n;(Islam) the call to prayer proclaimed five times a day
532;azure;a;a light, purplish shade of blue
533;bacchanalian;a;riotously drunken
534;baconian;a;of or pertaining to the philosopher Francis Bacon
535;bacterium;n;a single celled organism with no nucleus
536;badger;v;to pester, to annoy persistently
537;badinage;n;playful raillery, banter
538;baffle;v;totally bewilder, confuse or perplex
539;bailiff;n;a legal officer, similar to a sheriff or deputy
540;baize;n;a woollen fabric resembling felt
541;bale;n;a large, wrapped bundle of something (ie, cotton, hay)
542;baleful;a;threatening harm, menacing
543;balk;v;to pass over or by
544;ballast;n;any heavy material used to stabilize a ship
545;balsam;n;a sweet-smelling oil or resin derived from various plants
546;banal;a;so lacking in originality as to be obvious and boring
547;bandy;v;to give and receive reciprocally, to exchange
548;bane;n;a cause of great distress or annoyance
